,Cluster_idx,Cluster Intact + Cyc Overlap,Cluster EPIC Overlap,String Enriched
0,0,'',,1
1,1,'',"'775;CORUM;181;26S proteasome', '520;CORUM;194;PA28gamma-20S proteasome,1117;CORUM;192;PA28-20S proteasome'",1
2,2,'',,1
3,3,'',,0
4,4,'',,1
5,5,'CPX-3055',,0
6,6,'',"'775;CORUM;181;26S proteasome', '520;CORUM;194;PA28gamma-20S proteasome,1117;CORUM;192;PA28-20S proteasome'",1
7,7,'',,1
8,8,'',,0
9,9,'',,1
10,10,'',,1
11,11,'CPX-1630',,1
12,12,'',,0
13,13,'CPX-1293',,0
14,14,'',,1
15,15,'',,0
16,16,'',,1
17,17,'',,1
18,18,'',,1
19,19,'',,1
20,20,'',,1
21,21,'',,0
22,22,'',,1
23,23,'',,1
24,24,'',,1
25,25,'',,0
26,26,'',,0
27,27,'CPX-1613',,1
28,28,'',,0
29,29,'',,0
30,30,'CPX-1613',,1
31,31,'',,0
32,32,'',,0
